match_id,round,home_uid,home,away_uid,away,res_home,res_away,p1_home,p1_away,ft_home,ft_away
1387277403,8,276506,Brentford,276511,Brighton,1,1,1,1,1,1
1387268635,29,276506,Brentford,276511,Brighton,5,1,4,0,5,1
1387268515,14,276511,Brighton,276506,Brentford,1,1,0,1,1,1
1387287177,6,276504,Aston Oroszlán,276503,Fulham,0,1,0,1,0,1
1387277479,18,276504,Aston Oroszlán,276503,Fulham,5,2,2,1,5,2
1387277359,3,276503,Fulham,276504,Aston Oroszlán,2,0,0,0,2,0
1387268641,30,276503,Fulham,276504,Aston Oroszlán,0,0,0,0,0,0
1387268521,15,276504,Aston Oroszlán,276503,Fulham,2,0,1,0,2,0
1387287295,21,276505,Tottenham,276513,London Ágyúk,2,2,0,2,2,2
1387287291,20,276516,Nottingham,276505,Tottenham,0,1,0,1,0,1
1387287276,19,276505,Tottenham,276502,Vörös Ördögök,2,2,1,0,2,2
1387287268,18,276510,Manchester Kék,276505,Tottenham,3,0,1,0,3,0
1387287262,17,276505,Tottenham,276511,Brighton,1,0,1,0,1,0
1387287292,21,276507,Liverpool,276515,West Ham,3,0,1,0,3,0
1387287288,20,276513,London Ágyúk,276507,Liverpool,1,0,0,0,1,0
1387287278,19,276507,Liverpool,276516,Nottingham,5,0,3,0,5,0
1387287275,18,276502,Vörös Ördögök,276507,Liverpool,1,1,0,1,1,1
1387287266,17,276507,Liverpool,276510,Manchester Kék,3,2,2,0,3,2
1387287298,21,276514,Wolverhampton,276516,Nottingham,1,1,0,1,1,1
1387287289,20,276502,Vörös Ördögök,276514,Wolverhampton,1,1,0,1,1,1
1387287280,19,276514,Wolverhampton,276510,Manchester Kék,1,2,0,1,1,2
1387287274,18,276511,Brighton,276514,Wolverhampton,0,1,0,0,0,1
1387287267,17,276514,Wolverhampton,276504,Aston Oroszlán,0,0,0,0,0,0
1387287294,21,276509,Crystal Palace,276508,Chelsea,1,2,1,2,1,2
1387287286,20,276508,Chelsea,276503,Fulham,1,1,0,1,1,1
1387287281,19,276515,West Ham,276508,Chelsea,3,3,1,1,3,3
1387287269,18,276508,Chelsea,276506,Brentford,3,0,2,0,3,0
1387287261,17,276513,London Ágyúk,276508,Chelsea,0,4,0,1,0,4
1387287294,21,276509,Crystal Palace,276508,Chelsea,1,2,1,2,1,2
1387287290,20,276515,West Ham,276509,Crystal Palace,1,2,0,1,1,2
1387287277,19,276509,Crystal Palace,276513,London Ágyúk,3,1,1,0,3,1
1387287273,18,276516,Nottingham,276509,Crystal Palace,0,1,0,0,0,1
